PRODUCTO,CÓDIGO,Kg,tipo,arriba,abajo
 NF (nEFROLÓGICO ,12305062,3,gato,,
 OM ( OBESIDAD ,12305422,1,gato,,
 OM ( OBESIDAD ,12305063,3,gato,,
 HA () HIPOALERGÉNICO ,12274531,"1,3",gato,,
 HA () HIPOALERGÉNICO ,12274092,"3,5",gato,,
EXCELLENT KITTEN Chicken & Rice,12286503,1,gato,,
EXCELLENT KITTEN Chicken & Rice,12286500,"7,5",gato,,
EXCELLENT ADULT CAT Chicken & Rice,12286483,1,gato,,
EXCELLENT ADULT CAT Chicken & Rice,12286484,3,gato,,
EXCELLENT ADULT CAT Chicken & Rice,12286505,"7,5",gato,,
EXCELLENT ADULT CAT Chicken & Rice,12286507,15,gato,,
EXCELLENT ADULT CAT RED. CAL. CH&R ,12286522,1,gato,,
EXCELLENT ADULT CAT RED. CAL. CH&R ,12286510,"7,5",gato,,
EXCELLENT URINARY CAT CH&R,12286521,1,gato,,
EXCELLENT URINARY CAT CH&R,12286501,"7,5",gato,,
